key	en	zh-CN	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	立即下载	CTA
white_noise	white noise	白噪音	Standard zh-CN term for sleep apps
brown_noise	brown noise	棕噪音	
sleep_sounds	sleep sounds	助眠声音	Also 睡眠声音 in keywords
sound_machine	sleep sound machine	助眠声音机	Marketing
offline	offline	离线	
privacy_policy	Privacy Policy	隐私政策	Apple zh-CN legal term
terms_of_service	Terms of Service	使用条款	
freemium	freemium	免费基础版	Explain 可选高级功能 in body
sleep_timer	sleep timer	睡眠定时器	
register	polite 您/你	你	Consumer app landing; friendly tone
