key	en	sl-SI	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Prenesi zdaj	CTA; Apple App Store sl-SI style
white_noise	white noise	beli šum	Standard sl-SI term
brown_noise	brown noise	rjav šum	
sleep_sounds	sleep sounds	zvoki za spanje	
sound_machine	sleep sound machine	aparat za spanje	Marketing
offline	offline	offline	Common in App Store sl-SI
privacy_policy	Privacy Policy	Pravilnik o zasebnosti	Apple sl-SI legal term
terms_of_service	Terms of Service	Pogoji uporabe	Apple sl-SI
freemium	freemium	brezplačna različica	Explain premium in body; not popolnoma brezplačno
sleep_timer	sleep timer	časovnik za spanje	
register	informal ti/ti	B2C consumer app tone for sl-SI
