key	en	ko	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	지금 다운로드	CTA
white_noise	white noise	화이트 노이즈	Standard KR term for sleep apps
brown_noise	brown noise	브라운 노이즈	
sleep_sounds	sleep sounds	수면 사운드	
sound_machine	sleep sound machine	수면 사운드 머신	Marketing
offline	offline	오프라인	
privacy_policy	Privacy Policy	개인정보 처리방침	Apple KR legal term
terms_of_service	Terms of Service	이용 약관	
freemium	freemium	기본 무료	Explain 부분 유료 in body; avoid 프리미엄 alone
sleep_timer	sleep timer	수면 타이머	
register	polite 해요체	해요체	Consumer app tone for ko-KR
