key	en	tr-TR	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Şimdi indir	CTA; App Store tr-TR style
white_noise	white noise	beyaz gürültü	Standard TR wellness term
brown_noise	brown noise	kahverengi gürültü	
dark_noise	dark noise	koyu gürültü	
sleep_sounds	sleep sounds	uyku sesleri	
sound_machine	sleep sound machine	uyku ses makinesi	Marketing
offline	offline	çevrimdışı	Apple tr-TR
privacy_policy	Privacy Policy	Gizlilik Politikası	Apple tr-TR legal term
terms_of_service	Terms of Service	Hizmet Koşulları	Apple tr-TR
freemium	freemium	ücretsiz sürüm	Explain premium in body
sleep_timer	sleep timer	uyku zamanlayıcısı	
mix_sounds	mix sounds	ses karıştırma	
register	formal siz	siz	B2C polite; imperative where natural
free_trial	Free Trial	Ücretsiz Deneme	
lifetime_plan	Lifetime Plan	Lifetime Plan	App Store product name; keep EN
