key	en	te-IN	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	ఇప్పుడే డౌన్‌లోడ్ చేయి	CTA; informal nuvvu register
white_noise	white noise	వైట్ నాయిస్	Common te-IN app/marketing term
brown_noise	brown noise	బ్రౌన్ నాయిస్	
sleep_sounds	sleep sounds	నిద్ర ధ్వనులు	
sound_machine	sleep sound machine	నిద్ర సౌండ్ మెషీన్	Marketing
offline	offline	ఆఫ్‌లైన్	Standard te-IN UI term
privacy_policy	Privacy Policy	గోప్యతా విధానం	Apple te-IN legal term
terms_of_service	Terms of Service	ఉపయోగ నిబంధనలు	Apple te-IN
freemium	freemium	ఉచిత సంస్కరణ	1-hour timer; not పూర్తిగా ఉచితం
sleep_timer	sleep timer	నిద్ర టైమర్	
register	informal nuvvu	నువ్వు	B2C consumer app tone for te-IN
