key	en	hu-HU	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Letöltés most	CTA; Apple App Store HU style
white_noise	white noise	fehér zaj	Standard hu-HU term
brown_noise	brown noise	barna zaj	
sleep_sounds	sleep sounds	alvási hangok	
sound_machine	sleep sound machine	alvási hanggép	Marketing
offline	offline	offline	Common in App Store HU
privacy_policy	Privacy Policy	Adatvédelmi irányelvek	Apple hu-HU legal term
terms_of_service	Terms of Service	Felhasználási feltételek	Apple hu-HU
freemium	freemium	ingyenes verzió	Explain premium in body; not teljesen ingyenes
sleep_timer	sleep timer	alvási időzítő	
register	informal te	te	B2C consumer app tone for hu-HU
