key	en	bg-BG	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Изтегли сега	CTA; Apple App Store bg-BG style
white_noise	white noise	бял шум	Standard bg-BG term
brown_noise	brown noise	кафяв шум	
sleep_sounds	sleep sounds	звуци за сън	
sound_machine	sleep sound machine	машина за звук при сън	Marketing
offline	offline	офлайн	Common in App Store bg-BG
privacy_policy	Privacy Policy	Политика за поверителност	Apple bg-BG legal term
terms_of_service	Terms of Service	Условия за ползване	Apple bg-BG
freemium	freemium	безплатна версия	Explain premium in body; not напълно безплатно
sleep_timer	sleep timer	таймер за сън	
register	informal ti	ти	B2C consumer app tone for bg-BG
