key	en	pl-PL	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Pobierz teraz	CTA; Apple App Store pl-PL style
white_noise	white noise	biały szum	Standard pl-PL term
brown_noise	brown noise	brązowy szum	
sleep_sounds	sleep sounds	dźwięki do snu	
sound_machine	sleep sound machine	maszyna do snu	Marketing
offline	offline	offline	Common in App Store pl-PL
privacy_policy	Privacy Policy	Polityka prywatności	Apple pl-PL legal term
terms_of_service	Terms of Service	Warunki korzystania	Apple pl-PL
freemium	freemium	darmowa wersja	Explain premium in body; not całkowicie za darmo
sleep_timer	sleep timer	timer snu	
register	informal ty	ty	B2C consumer app tone for pl-PL
