key	en	nl-NL	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Nu downloaden	CTA; Apple App Store NL style
white_noise	white noise	witte ruis	Standard nl-NL term
brown_noise	brown noise	bruine ruis	
sleep_sounds	sleep sounds	slaapgeluiden	
sound_machine	sleep sound machine	geluidsmachine voor slapen	Marketing
offline	offline	offline	Common in App Store NL
privacy_policy	Privacy Policy	Privacybeleid	Apple nl-NL legal term
terms_of_service	Terms of Service	Servicevoorwaarden	Apple nl-NL
freemium	freemium	gratis versie	Explain premium in body; not volledig gratis
sleep_timer	sleep timer	slaaptimer	
register	informal je/jij	je/jij	B2C consumer app tone for nl-NL
