key	en	el-GR	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Λήψη τώρα	CTA
white_noise	white noise	λευκός θόρυβος	Standard el-GR term
brown_noise	brown noise	καφέ θόρυβος	
sleep_sounds	sleep sounds	ήχοι ύπνου	
sound_machine	sleep sound machine	μηχάνημα ήχου ύπνου	Marketing
offline	offline	offline	Common loanword in App Store GR
privacy_policy	Privacy Policy	Πολιτική Απορρήτου	Apple el-GR legal term
terms_of_service	Terms of Service	Όροι Χρήσης	
freemium	freemium	δωρεάν έκδοση	Explain premium in body
sleep_timer	sleep timer	χρονοδιακόπτης ύπνου	
register	informal εσύ	εσύ	Consumer app tone for el-GR
