key	en	vi-VN	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Tải xuống ngay	CTA; App Store vi-VN style
white_noise	white noise	tiếng ồn trắng	Common vi-VN wellness term
brown_noise	brown noise	tiếng ồn nâu	
dark_noise	dark noise	tiếng ồn tối	
sleep_sounds	sleep sounds	âm thanh giúp ngủ	
sound_machine	sleep sound machine	máy phát âm thanh ngủ	Marketing
offline	offline	ngoại tuyến	Apple vi-VN; also offline in body OK
privacy_policy	Privacy Policy	Chính sách quyền riêng tư	Apple vi-VN legal term
terms_of_service	Terms of Service	Điều khoản dịch vụ	Apple vi-VN
freemium	freemium	phiên bản miễn phí	Explain premium in body
sleep_timer	sleep timer	hẹn giờ ngủ	
mix_sounds	mix sounds	trộn âm thanh	
register	polite bạn	bạn	B2C consumer app tone for vi-VN
free_trial	Free Trial	Dùng thử miễn phí	
lifetime_plan	Lifetime Plan	Lifetime Plan	App Store product name; keep EN
