key	en	he-IL	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	הורידו עכשיו	CTA; Apple App Store IL style
white_noise	white noise	רעש לבן	Standard he-IL term
brown_noise	brown noise	רעש חום	
sleep_sounds	sleep sounds	צלילי שינה	
sound_machine	sleep sound machine	מכונת צלילים לשינה	Marketing
offline	offline	אופליין	Common in App Store IL
privacy_policy	Privacy Policy	מדיניות פרטיות	Apple he-IL legal term
terms_of_service	Terms of Service	תנאי שימוש	Apple he-IL
freemium	freemium	גרסה חינמית	Explain premium in body; not חינם לגמרי
sleep_timer	sleep timer	טיימר שינה	
register	informal plural	אתם/שלכם	B2C consumer app tone for he-IL; inclusive plural
