key	en	ms-MY	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Muat turun sekarang	CTA; Apple App Store MS-MY style
white_noise	white noise	white noise	Common loanword in MY sleep apps; alt: bunyi putih
brown_noise	brown noise	brown noise	
sleep_sounds	sleep sounds	bunyi tidur	
sound_machine	sleep sound machine	mesin bunyi tidur	Marketing
offline	offline	offline	Common in App Store MS-MY
privacy_policy	Privacy Policy	Dasar Privasi	Apple ms-MY legal term
terms_of_service	Terms of Service	Terma Perkhidmatan	Apple ms-MY
freemium	freemium	versi percuma	Explain premium in body; not percuma sepenuhnya
sleep_timer	sleep timer	pemasa tidur	
register	informal kamu	kamu	B2C consumer app tone for ms-MY
