key	en	sv-SE	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Ladda ner nu	CTA; Apple App Store sv-SE style
white_noise	white noise	vitt brus	Standard sv-SE term
brown_noise	brown noise	brunt brus	
sleep_sounds	sleep sounds	sömnljud	
sound_machine	sleep sound machine	sömnljudsmaskin	Marketing
offline	offline	offline	Common in App Store sv-SE
privacy_policy	Privacy Policy	Integritetspolicy	Apple sv-SE legal term
terms_of_service	Terms of Service	Användarvillkor	Apple sv-SE
freemium	freemium	gratisversion	Explain premium in body; not helt gratis
sleep_timer	sleep timer	sömntimer	
register	informal du	du	B2C consumer app tone for sv-SE
