key	en	fil-PH	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	I-download ngayon	CTA; Apple App Store PH style
white_noise	white noise	white noise	Common loanword in PH sleep/wellness apps; alt: puting ingay
brown_noise	brown noise	brown noise	
sleep_sounds	sleep sounds	tunog sa pagtulog	
sound_machine	sleep sound machine	makinang tunog sa pagtulog	Marketing
offline	offline	offline	Common in App Store PH
privacy_policy	Privacy Policy	Patakaran sa Privacy	Apple fil-PH legal term
terms_of_service	Terms of Service	Mga Tuntunin ng Serbisyo	Apple fil-PH
freemium	freemium	libreng bersyon	Explain premium in body; not libreng lahat
sleep_timer	sleep timer	timer sa pagtulog	
register	informal ikaw	ikaw/mo	B2C consumer app tone for fil-PH; no po/opo
