key	en	sk-SK	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Stiahnuť teraz	CTA; Apple App Store sk-SK style
white_noise	white noise	biely šum	Standard sk-SK term
brown_noise	brown noise	hnedý šum	
sleep_sounds	sleep sounds	spánkové zvuky	
sound_machine	sleep sound machine	prístroj na spanie	Marketing
offline	offline	offline	Common in App Store sk-SK
privacy_policy	Privacy Policy	Zásady ochrany osobných údajov	Apple sk-SK legal term
terms_of_service	Terms of Service	Podmienky používania	Apple sk-SK
freemium	freemium	bezplatná verzia	Explain premium in body; not úplne zadarmo
sleep_timer	sleep timer	časovač spánku	
register	informal ty	ty	B2C consumer app tone for sk-SK
